101000000010990,RADICO KHAITAN LTD,0,1,0.05,INE944F01028,0915-1530|1815-1915:1,2023-01-28,,NSE:RADICO-EQ,10,10,10990,RADICO,10990,-1.0,XX,101000000010990
101000000010993,INDO RAMA SYNTHETICS LTD,0,1,0.05,INE156A01020,0915-1530|1815-1915:1,2023-01-28,,NSE:INDORAMA-EQ,10,10,10993,INDORAMA,10993,-1.0,XX,101000000010993
101000000010999,MARUTI SUZUKI INDIA LTD.,0,1,0.05,INE585B01010,0915-1530|1815-1915:1,2023-01-28,,NSE:MARUTI-EQ,10,10,10999,MARUTI,10999,-1.0,XX,101000000010999
10100000001100,GARWARE TECH FIBRES LTD,0,1,0.05,INE276A01018,0915-1530|1815-1915:1,2023-01-28,,NSE:GARFIBRES-EQ,10,10,1100,GARFIBRES,1100,-1.0,XX,10100000001100
101000000011006,NIP IND ETF LIQUID BEES,4,1,0.01,INF732E01037,0915-1530|1815-1915:1,2023-01-28,,NSE:LIQUIDBEES-EQ,10,10,11006,LIQUIDBEES,11006,-1.0,XX,101000000011006
101000000011027,INFOBEANS TECHNO. LTD.,0,1,0.05,INE344S01016,0915-1530|1815-1915:1,2023-01-28,,NSE:INFOBEAN-EQ,10,10,11027,INFOBEAN,11027,-1.0,XX,101000000011027
101000000011032,SANGINITA CHEMICALS LTD,0,1,0.05,INE753W01010,0915-1530|1815-1915:1,2023-01-28,,NSE:SANGINITA-EQ,10,10,11032,SANGINITA,11032,-1.0,XX,101000000011032
101000000011037,ICICIPRAMC - IPRU5008,4,1,0.01,INF109KC15I8,0915-1530|1815-1915:1,2023-01-28,,NSE:ICICIBANKN-EQ,10,10,11037,ICICIBANKN,11037,-1.0,XX,101000000011037
101000000011039,DCM NOUVELLE LIMITED,0,1,0.05,INE08KP01019,0915-1530|1815-1915:1,2023-01-28,,NSE:DCMNVL-EQ,10,10,11039,DCMNVL,11039,-1.0,XX,101000000011039
101000000011045,SATIA INDUSTRIES LIMITED,0,1,0.05,INE170E01023,0915-1530|1815-1915:1,2023-01-28,,NSE:SATIA-EQ,10,10,11045,SATIA,11045,-1.0,XX,101000000011045
101000000011050,SIRCA PAINT INDIA LIMITED,0,1,0.05,INE792Z01011,0915-1530|1815-1915:1,2023-01-28,,NSE:SIRCA-EQ,10,10,11050,SIRCA,11050,-1.0,XX,101000000011050
101000000011058,SECUREKLOUD TECH LIMITED,0,1,0.05,INE650K01021,0915-1530|1815-1915:1,2023-01-28,,NSE:SECURKLOUD-EQ,10,10,11058,SECURKLOUD,11058,-1.0,XX,101000000011058
101000000011060,KSOLVES INDIA LIMITED,0,1,0.05,INE0D6I01015,0915-1530|1815-1915:1,2023-01-28,,NSE:KSOLVES-EQ,10,10,11060,KSOLVES,11060,-1.0,XX,101000000011060
101000000011065,NATH BIO-GENES (I) LTD,0,1,0.05,INE448G01010,0915-1530|1815-1915:1,2023-01-28,,NSE:NATHBIOGEN-EQ,10,10,11065,NATHBIOGEN,11065,-1.0,XX,101000000011065
101000000011072,AGRI-TECH (INDIA) LIMITED,0,1,0.05,INE449G01018,0915-1530|1815-1915:1,2023-01-28,,NSE:AGRITECH-EQ,10,10,11072,AGRITECH,11072,-1.0,XX,101000000011072
101000000011079,GRAND FOUNDRY LTD,0,1,0.05,INE534A01028,0915-1530|1815-1915:1,2023-01-28,,NSE:GFSTEELS-BE,10,10,11079,GFSTEELS,11079,-1.0,XX,101000000011079
101000000011082,LIBAS CONSU PRODUCTS LTD,0,1,0.05,INE908V01012,0915-1530|1815-1915:1,2023-01-28,,NSE:LIBAS-EQ,10,10,11082,LIBAS,11082,-1.0,XX,101000000011082
10100000001110,DANGEE DUMS LIMITED,0,1,0.05,INE688Y01022,0915-1530|1815-1915:1,2023-01-28,,NSE:DANGEE-EQ,10,10,1110,DANGEE,1110,-1.0,XX,10100000001110
101000000011141,SUMIT WOODS LIMITED,0,1,0.05,INE748Z01013,0915-1530|1815-1915:1,2023-01-28,,NSE:SUMIT-BE,10,10,11141,SUMIT,11141,-1.0,XX,101000000011141
101000000011149,SHRENIK LIMITED,0,1,0.05,INE632X01030,0915-1530|1815-1915:1,2023-01-28,,NSE:SHRENIK-EQ,10,10,11149,SHRENIK,11149,-1.0,XX,101000000011149
101000000011155,CREATIVE NEWTECH LIMITED,0,1,0.05,INE985W01018,0915-1530|1815-1915:1,2023-01-28,,NSE:CREATIVE-EQ,10,10,11155,CREATIVE,11155,-1.0,XX,101000000011155
101000000011162,HARSHA ENGINEERS INT LTD,0,1,0.05,INE0JUS01029,0915-1530|1815-1915:1,2023-01-28,,NSE:HARSHA-EQ,10,10,11162,HARSHA,11162,-1.0,XX,101000000011162
101000000011165,COFFEE DAY ENTERPRISE LTD,0,1,0.05,INE335K01011,0915-1530|1815-1915:1,2023-01-28,,NSE:COFFEEDAY-EQ,10,10,11165,COFFEEDAY,11165,-1.0,XX,101000000011165
101000000011184,IDFC FIRST BANK LIMITED,0,1,0.05,INE092T01019,0915-1530|1815-1915:1,2023-01-28,,NSE:IDFCFIRSTB-EQ,10,10,11184,IDFCFIRSTB,11184,-1.0,XX,101000000011184
101000000011193,AXISAMC - AXISILVER,4,1,0.01,INF846K011K1,0915-1530|1815-1915:1,2023-01-28,,NSE:AXISILVER-EQ,10,10,11193,AXISILVER,11193,-1.0,XX,101000000011193
101000000011195,INTERGLOBE AVIATION LTD,0,1,0.05,INE646L01027,0915-1530|1815-1915:1,2023-01-28,,NSE:INDIGO-EQ,10,10,11195,INDIGO,11195,-1.0,XX,101000000011195
